ts,action,type,symbol,side,qty,price,stopPrice,limitPrice,tif,orderId,linkId,result,sliceIndex,totalSlices
2025-08-11T07:27:34Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-0a7a87f8,BRK-69edec05,ok,,
2025-08-11T07:27:34Z,place_order,,,,,,,,,FAKE-6d903e4c,,,,
2025-08-11T07:27:34Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-6d903e4c,BRK-69edec05,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-99c25b70,,,,
2025-08-11T07:27:44Z,place_entry,LIMIT,BTCUSDT,SELL,0.002,65000.0,,,,FAKE-99c25b70,BRK-239a17b7,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-dc4dbabc,,,,
2025-08-11T07:27:44Z,place_exit_tp,,BTCUSDT,BUY,0.002,64000.0,,,,FAKE-dc4dbabc,BRK-239a17b7,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-30d82ff0,,,,
2025-08-11T07:27:44Z,place_exit_sl,,BTCUSDT,BUY,0.002,,66000.0,,,FAKE-30d82ff0,BRK-239a17b7,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-9c287c00,,,,
2025-08-11T07:27:53Z,place_entry,LIMIT,ETHUSDT,BUY,1.5,3000.0,,,,FAKE-9c287c00,BRK-4219c055,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-8c9ddfba,,,,
2025-08-11T07:27:53Z,place_exit_tp,,ETHUSDT,SELL,1.5,3200.0,,,,FAKE-8c9ddfba,BRK-4219c055,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-19a01b3c,,,,
2025-08-11T07:27:53Z,place_exit_sl,,ETHUSDT,SELL,1.5,,2800.0,,,FAKE-19a01b3c,BRK-4219c055,ok,,
2025-08-11T07:28:01Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:08Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:15Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-f09dd990,,,,
2025-08-11T07:28:51Z,place_entry,MARKET,SOLUSDT,BUY,5.0,,,,,FAKE-f09dd990,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-774df11c,,,,
2025-08-11T07:28:51Z,place_exit_tp,,SOLUSDT,SELL,5.0,160.0,,,,FAKE-774df11c,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-112c6f04,,,,
2025-08-11T07:28:51Z,place_exit_sl,,SOLUSDT,SELL,5.0,,140.0,,,FAKE-112c6f04,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-d5c689dd,,,,
2025-08-11T07:28:51Z,place_entry,LIMIT,DOGEUSDT,SELL,1000.0,0.12,,,,FAKE-d5c689dd,BRK-6a418bf4,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-c0e17d52,,,,
2025-08-11T07:28:51Z,place_exit_tp,,DOGEUSDT,BUY,1000.0,0.1,,,,FAKE-c0e17d52,BRK-6a418bf4,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-7840fdb8,,,,
2025-08-11T07:28:51Z,place_exit_sl,,DOGEUSDT,BUY,1000.0,,0.14,,,FAKE-7840fdb8,BRK-6a418bf4,ok,,
2025-08-11T07:30:55Z,place_order,,,,,,,,,FAKE-68320bb7,,,,
2025-08-11T07:30:55Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-68320bb7,,ok,,
2025-08-11T07:31:45Z,place_order,,,,,,,,,FAKE-aea09a45,,,,
2025-08-11T07:31:45Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-aea09a45,,ok,,
2025-08-11T07:31:46Z,place_order,,,,,,,,,FAKE-b661e0e9,,,,
2025-08-11T07:31:46Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-b661e0e9,,ok,,
2025-08-11T07:31:46Z,place_order,,,,,,,,,FAKE-06aaa03b,,,,
2025-08-11T07:31:46Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-06aaa03b,,ok,,
2025-08-11T07:32:09Z,order_attempt_failed,,,,,,,,,,,,,
2025-08-11T07:32:10Z,retry_attempt,,,,,,,,,,,,,
2025-08-11T07:32:10Z,place_order,,,,,,,,,FAKE-93954de2,,,,
2025-08-11T07:32:10Z,place_order,MARKET,TESTUSDT,BUY,0.001,,,,,FAKE-93954de2,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-4ee805c1,,,,
2025-08-11T07:32:58Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-4ee805c1,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-adbd34bb,,,,
2025-08-11T07:32:58Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-adbd34bb,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-a5de6caf,,,,
2025-08-11T07:32:58Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-a5de6caf,,ok,,
2025-08-11T07:35:17Z,place_order,,,,,,,,,FAKE-60e512c6,,,,
2025-08-11T07:35:17Z,place_order,,,,,,,,,FAKE-22718401,,,,
2025-08-11T07:35:17Z,place_oco,,BTCUSDT,SELL,0.01,,105000.0,,,,OCO-0fd809ce,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-5da943fe,,,,
2025-08-11T07:35:24Z,place_entry,MARKET,BTCUSDT,BUY,0.01,,,,,FAKE-5da943fe,BRK-62e73938,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-a8bd1429,,,,
2025-08-11T07:35:24Z,place_exit_tp,,BTCUSDT,SELL,0.01,105000.0,,,,FAKE-a8bd1429,BRK-62e73938,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-af475d8e,,,,
2025-08-11T07:35:24Z,place_exit_sl,,BTCUSDT,SELL,0.01,,95000.0,,,FAKE-af475d8e,BRK-62e73938,ok,,
2025-08-11T07:35:57Z,place_order,,,,,,,,,FAKE-46035361,,,,
2025-08-11T07:35:57Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-46035361,,ok,,
2025-08-11T07:36:04Z,place_order,,,,,,,,,FAKE-acc2ba43,,,,
2025-08-11T07:36:04Z,place_order,LIMIT,ETHUSDT,SELL,0.01,3400.0,,,GTC,FAKE-acc2ba43,,ok,,
2025-08-11T07:36:24Z,place_order,,,,,,,,,FAKE-ea5a19fa,,,,
2025-08-11T07:36:24Z,place_order,STOP_LIMIT,ADAUSDT,BUY,10.0,,0.45,0.47,GTC,FAKE-ea5a19fa,,ok,,
2025-08-11T07:44:32Z,twap_start,,BTCUSDT,BUY,,,,,,,TWAP-f9a4e2ca,,,
2025-08-11T07:44:32Z,place_order,,,,,,,,,FAKE-48bda36b,,,,
2025-08-11T07:44:32Z,twap_slice,,BTCUSDT,BUY,0.0033333333333333335,,,,,FAKE-48bda36b,TWAP-f9a4e2ca,ok,1,3
2025-08-11T07:44:34Z,place_order,,,,,,,,,FAKE-13a6613a,,,,
2025-08-11T07:44:34Z,twap_slice,,BTCUSDT,BUY,0.0033333333333333335,,,,,FAKE-13a6613a,TWAP-f9a4e2ca,ok,2,3
2025-08-11T07:44:36Z,place_order,,,,,,,,,FAKE-de98c881,,,,
2025-08-11T07:44:36Z,twap_slice,,BTCUSDT,BUY,0.003333333333333333,,,,,FAKE-de98c881,TWAP-f9a4e2ca,ok,3,3
2025-08-11T07:44:36Z,twap_complete,,BTCUSDT,BUY,,,,,,,TWAP-f9a4e2ca,ok,,
2025-08-11T07:44:55Z,place_order,,,,,,,,,FAKE-470f62cb,,,,
2025-08-11T07:44:55Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-470f62cb,,ok,,
2025-08-11T07:45:02Z,place_order,,,,,,,,,FAKE-ad7eebc9,,,,
2025-08-11T07:45:02Z,place_order,LIMIT,ETHUSDT,SELL,0.01,3500.0,,,GTC,FAKE-ad7eebc9,,ok,,
2025-08-11T07:45:10Z,place_order,,,,,,,,,FAKE-1aad47f5,,,,
2025-08-11T07:45:10Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-1aad47f5,,ok,,
2025-08-11T07:45:19Z,place_order,,,,,,,,,FAKE-8bd7fa0b,,,,
2025-08-11T07:45:19Z,place_order,,,,,,,,,FAKE-4e1c1268,,,,
2025-08-11T07:45:19Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-be4eb47d,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-b07d8eed,,,,
2025-08-11T07:45:27Z,place_entry,MARKET,BTCUSDT,BUY,0.002,,,,,FAKE-b07d8eed,BRK-0fed99cd,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-bdd27fdd,,,,
2025-08-11T07:45:27Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-bdd27fdd,BRK-0fed99cd,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-f1eaef57,,,,
2025-08-11T07:45:27Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-f1eaef57,BRK-0fed99cd,ok,,
